302,Vatical Entertainment
303,Daedalic
304,EA Games
305,Media Factory
306,Vic Tokai
307,The Adventure Company
308,Game Arts
309,Broccoli
310,Acquire
311,General Entertainment
312,Excalibur Publishing
313,Imadio
314,Swing! Entertainment
315,Sony Music Entertainment
316,Aqua Plus
317,Paradox Interactive
318,Hip Interactive
319,DreamCatcher Interactive
320,Tripwire Interactive
321,Sting
322,Yacht Club Games
323,SCS Software
324,Bigben Interactive
325,Havas Interactive
326,Slitherine Software
327,Graffiti
328,Funsta
329,Telstar
330,U.S. Gold
331,DreamWorks Interactive
332,Data Design Interactive
333,MTO
334,DHM Interactive
335,FunSoft
336,SPS
337,Bohemia Interactive
338,Reef Entertainment
339,Tru Blu Entertainment
340,Moss
341,T&E Soft
342,O-Games
343,Aksys Games
344,NDA Productions
345,Data East
346,Time Warner Interactive
347,Gainax Network Systems
348,Daito
349,O3 Entertainment
350,Gameloft
351,Xicat Interactive
352,Simon & Schuster Interactive
353,Valcon Games
354,PopTop Software
355,TOHO
356,HMH Interactive
357,5pb
358,Cave
359,CDV Software Entertainment
360,Microids
361,PM Studios
362,Paon
363,Micro Cabin
364,GameTek
365,Benesse
366,Type-Moon
367,Enjoy Gaming ltd.
368,Asmik Corp
369,Interplay Productions
370,Asmik Ace Entertainment
371,inXile Entertainment
372,Image Epoch
373,Phantom EFX
374,Evolved Games
375,responDESIGN
376,Culture Publishers
377,Griffin International
378,Hackberry
379,Hearty Robin
380,Nippon Amuse
381,Origin Systems
382,Seventh Chord
383,Mitsui
384,Milestone
385,Abylight
386,Flight-Plan
387,Glams
388,Locus
389,Warp
390,Daedalic Entertainment
391,Alternative Software
392,Myelin Media
393,Mercury Games
394,Irem Software Engineering
395,Sunrise Interactive
396,Elite
397,Evolution Games
398,Tivola
399,Global A Entertainment
400,Edia
401,Athena
402,Aria
403,Gamecock
404,Tommo
405,Altron
406,Happinet
407,iWin
408,Media Works
409,Fortyfive
410,Revolution Software
411,Imax
412,Crimson Cow
413,10TACLE Studios
414,Groove Games
415,Pack-In-Video
416,Insomniac Games
417,Ascaron Entertainment GmbH
418,Asgard
419,Ecole
420,Yumedia
421,Phenomedia
422,HAL Laboratory
423,Grand Prix Games
424,DigiCube
425,Creative Core
426,Kaga Create
427,WayForward Technologies
428,LSP Games
429,ASCII Media Works
430,Coconuts Japan
431,Arika
432,Ertain
433,Marvel Entertainment
434,Prototype
435,TopWare Interactive
436,Phantagram
437,1C Company
438,The Learning Company
439,TechnoSoft
440,Vap
441,Misawa
442,Tradewest
443,Team17 Software
444,Yeti
445,Pow
446,Navarre Corp
447,MediaQuest
448,Max Five
449,Comfort
450,Monte Christo Multimedia
451,Pony Canyon
452,Riverhillsoft
453,Summitsoft
454,Milestone S.r.l
455,Playmore
456,MLB.com
457,Kool Kizz
458,Flashpoint Games
459,49Games
460,Legacy Interactive
461,Alawar Entertainment
462,CyberFront
463,Cloud Imperium Games Corporation
464,Societa
465,Virtual Play Games
466,Interchannel
467,Sonnet
468,Experience Inc.
469,Zenrin
470,Iceberg Interactive
471,Ivolgamus
472,2D Boy
